TimeSeries ID,Data_ingress_rate_over_the_network,VM_Memory_Used_[SUM],VM_Instance_-_CPU_utilization_[MEAN] (1),Connection_Count_[SUM],VM_Instance_-_CPU_usage_[SUM],Data_egress_rate_over_the_network,GCS_Bucket_-_Request_count_[SUM],Total_write_request_count,Total_read_list_get_request_count,Total_read_list_get_request_count,Total_read_list_get_request_count,Total_read_list_get_request_count
Wed May 01 2024 05:41:00 GMT-0600 (Mountain Daylight Time),,,0.14412376653876685,0.016666666666666666,0.5764950661550674,,,,,,,
Wed May 01 2024 05:42:00 GMT-0600 (Mountain Daylight Time),,1106890752,0.23754192926535334,0.016666666666666666,0.9501677170614133,,,,,,,
Wed May 01 2024 05:43:00 GMT-0600 (Mountain Daylight Time),,1565609984,0.05398485209206516,0.13333333333333333,0.21593940836826064,,,,,,,
Wed May 01 2024 05:44:00 GMT-0600 (Mountain Daylight Time),,1669939200,0.18746786982683286,0.3,0.7498714793073314,,,,,,,
Wed May 01 2024 05:45:00 GMT-0600 (Mountain Daylight Time),,2969235456,0.3523205822876853,0.15,1.4092823291507413,,,,,,,
Wed May 01 2024 05:46:00 GMT-0600 (Mountain Daylight Time),,2922274816,0.21176493635332777,0.31666666666666665,0.8470597454133111,,,,,,,
Wed May 01 2024 05:47:00 GMT-0600 (Mountain Daylight Time),,3318288384,0.10270480427859746,0.43333333333333335,0.41081921711438985,,,,,,,
Wed May 01 2024 05:48:00 GMT-0600 (Mountain Daylight Time),,3514052608,0.1283714690616404,0.16666666666666666,0.5134858762465616,,0,,0,undefined,undefined,undefined
Wed May 01 2024 05:49:00 GMT-0600 (Mountain Daylight Time),0.95,3699712000,0.050317912371151866,0.4666666666666667,0.20127164948460746,64.11666666666667,0.03333333333333333,,0.016666666666666666,undefined,undefined,undefined
Wed May 01 2024 05:50:00 GMT-0600 (Mountain Daylight Time),0,3700654080,0.05936244308598037,0.06666666666666667,0.23744977234392148,0,0,,0,undefined,undefined,undefined
Wed May 01 2024 05:51:00 GMT-0600 (Mountain Daylight Time),39.016666666666666,3798740992,0.05913139344882481,0.3,0.23652557379529923,2.583333333333333,0.03333333333333333,0.016666666666666666,undefined,undefined,0.016666666666666666,undefined
Wed May 01 2024 05:52:00 GMT-0600 (Mountain Daylight Time),,3801366528,0.04708581712789789,0.3833333333333333,0.18834326851159156,,,,,,,
Wed May 01 2024 05:53:00 GMT-0600 (Mountain Daylight Time),,3787862016,0.046705174151215445,0.31666666666666665,0.18682069660486178,,,,,,,
Wed May 01 2024 05:54:00 GMT-0600 (Mountain Daylight Time),,3787804672,0.04725465915914029,0.31666666666666665,0.18901863663656115,,,,,,,
Wed May 01 2024 05:55:00 GMT-0600 (Mountain Daylight Time),,3786727424,0.05060566246356141,0.25,0.20242264985424563,,,,,,,
Wed May 01 2024 05:56:00 GMT-0600 (Mountain Daylight Time),,3790848000,0.04627145023015042,0.18333333333333335,0.18508580092060167,,,,,,,
Wed May 01 2024 05:57:00 GMT-0600 (Mountain Daylight Time),0,3790524416,0.044341534355913245,0.65,0.17736613742365298,0.5333333333333333,0.016666666666666666,,undefined,undefined,0.016666666666666666,undefined
Wed May 01 2024 05:58:00 GMT-0600 (Mountain Daylight Time),,3794182144,0.049995494907339594,0.5,0.19998197962935838,,,,,,,
Wed May 01 2024 05:59:00 GMT-0600 (Mountain Daylight Time),,3798769664,0.04608997873030844,0.11666666666666667,0.18435991492123377,,,,,,,
Wed May 01 2024 06:00:00 GMT-0600 (Mountain Daylight Time),,3800875008,0.045595233677277844,0.35,0.18238093470911138,,,,,,,
Wed May 01 2024 06:01:00 GMT-0600 (Mountain Daylight Time),,3807846400,0.05031508234501416,0.7166666666666667,0.20126032938005667,,,,,,,
Wed May 01 2024 06:02:00 GMT-0600 (Mountain Daylight Time),0,3815170048,0.04854280357821518,0.18333333333333335,0.19417121431286072,173.48333333333335,0.13333333333333333,,undefined,0.06666666666666667,undefined,0.06666666666666667
Wed May 01 2024 06:03:00 GMT-0600 (Mountain Daylight Time),0,3814195200,0.045402971236329866,0.3833333333333333,0.1816118849453195,1.5166666666666666,0,,undefined,0,undefined,undefined
Wed May 01 2024 06:04:00 GMT-0600 (Mountain Daylight Time),,3818971136,0.04389575536748088,0.5,0.17558302146992352,,,,,,,
Wed May 01 2024 06:05:00 GMT-0600 (Mountain Daylight Time),,3819958272,0.046840774968138515,0.4,0.18736309987255406,,,,,,,
Wed May 01 2024 06:06:00 GMT-0600 (Mountain Daylight Time),,3822854144,,0.05,,,,,,,,
Wed May 01 2024 06:07:00 GMT-0600 (Mountain Daylight Time),,,,0.03333333333333333,,,,,,,,
method,,,,,,,,WriteObject,GetBucketMetadata,GetObjectMetadata,ListObjects,ReadObject
